run_no,file,lap_time,session,username,brake_mean,brake_std,brake_median,brake_max,brake_q25,brake_q75,CHA_Speed_mean,CHA_Speed_std,CHA_Speed_median,CHA_Speed_max,CHA_Speed_q25,CHA_Speed_q75,throttle_mean,throttle_std,throttle_median,throttle_max,throttle_q25,throttle_q75,steer_mean,steer_std,steer_median,steer_max,steer_q25,steer_q75,engineRPM_mean,engineRPM_std,engineRPM_median,engineRPM_max,engineRPM_q25,engineRPM_q75,steer_speed_mean,steer_speed_std,steer_speed_median,steer_speed_max,steer_speed_q25,steer_speed_q75,rolling_std__brake_mean,rolling_std__brake_std,rolling_std__brake_median,rolling_std__brake_max,rolling_std__brake_q25,rolling_std__brake_q75,rolling_std__CHA_Speed_mean,rolling_std__CHA_Speed_std,rolling_std__CHA_Speed_median,rolling_std__CHA_Speed_max,rolling_std__CHA_Speed_q25,rolling_std__CHA_Speed_q75,rolling_std__throttle_mean,rolling_std__throttle_std,rolling_std__throttle_median,rolling_std__throttle_max,rolling_std__throttle_q25,rolling_std__throttle_q75,rolling_std__steer_mean,rolling_std__steer_std,rolling_std__steer_median,rolling_std__steer_max,rolling_std__steer_q25,rolling_std__steer_q75,rolling_std__engineRPM_mean,rolling_std__engineRPM_std,rolling_std__engineRPM_median,rolling_std__engineRPM_max,rolling_std__engineRPM_q25,rolling_std__engineRPM_q75,rolling_std__steer_speed_mean,rolling_std__steer_speed_std,rolling_std__steer_speed_median,rolling_std__steer_speed_max,rolling_std__steer_speed_q25,rolling_std__steer_speed_q75,bkpoint_relative,bkrelease_relative,brkmax_relative,brkmax_brake,brkpoint_grad,brkrelease_grad,speed_entry,speed_exit,porc_full_throttle,segment_time
0,20190724-182843_2347621_01.csv,190.20149994,0,20190724.carmello,8.217139677239844,11.822269360113618,0.0,31.266666666666666,0.0,16.433333333333334,125.67479474221048,51.455879997546376,111.70985282156627,204.09940921731646,77.03664839568506,181.50207401600935,18.162186978297164,32.82653815256853,0.0,98.95,0.0,31.924999999999997,22.906660267111853,28.49318186921151,3.537,72.954,0.2025,53.642250000000004,4437.829549248749,899.1973290664837,4394.0,6451.4,3643.55,5107.049999999999,-1.4807178631051758,47.20593784909804,0.0,98.5500000000016,0.0,20.250000000000007,6.544196407362379,5.9130078288727885,9.933898104300322,14.766607552316533,0.0,11.283114926959406,12.420555595618481,11.126895258914592,11.25197550522486,27.825070896240653,0.0,23.98358207306793,6.513985290841624,12.60529309526838,0.0,47.56542991556749,0.0,8.789376082155002,8.54981315456396,9.533606047631514,2.281677775922951,27.162966771500543,0.0,18.023629907192326,236.58477565681727,180.21632069973455,301.69494638520115,495.30940606090985,0.0,396.8790678282103,19.26815883760939,18.498944948670342,16.649572026959266,62.85689669197992,0.0,27.60101972054908,94.52701564480321,259.834140914038,226.24394683929222,31.266666666666666,10.783475926638427,-7.721118767752822,194.55187035912044,85.53582431269838,0.12353923205342238,9.962997439999995
1,20190724-182843_2347621_02.csv,124.82400513,0,20190724.carmello,7.659936908517349,11.126880712313,0.0,31.73333333333333,0.0,18.300000000000004,118.98001239849216,51.01030125313551,98.95306331860819,205.06328620102818,74.43120551270216,168.65679425613652,13.940694006309151,30.204780547489797,0.0,100.0,0.0,0.0,22.69005047318612,23.52403292458466,17.35425,63.747,0.3915,46.926,3910.0922712933752,1077.0393463149212,3771.8,5677.7,2924.8500000000004,4917.25,1.298895899053627,35.76666304246088,0.0,117.45,0.0,18.900000000000627,5.485377508162048,5.259506011821419,7.94543477597546,12.907540596234417,0.0,10.614076787731738,11.516497146643271,10.79951197740076,7.032175660531204,29.23859916686056,0.0,22.492207127096023,4.5848306701040915,10.676995734484537,0.0,45.98308414597021,0.0,0.0,6.6840650270936095,6.744575477946903,6.215724087766834,19.253776381018127,0.0,12.675378434571344,263.6801526465515,205.8839279779872,263.98353668802235,531.8930830325667,0.0,477.11195503443594,19.170061241007343,14.93583097516074,26.484383035759347,42.72221855829484,0.0,31.162390688301784,86.92204781197415,248.9127320125067,147.03419835528302,31.73333333333333,27.215899528504544,-7.680825726718001,198.45545451703967,78.21357675061792,0.0946372239747634,10.545989989999953
2,20190724-182843_2347621_03.csv,116.91000366,0,20190724.carmello,10.069017094017093,16.758147913370987,0.0,48.73333333333333,0.0,14.9,120.9283785604017,58.778155448498424,88.73621304554011,216.4226219959272,73.07902329360547,192.5558902470062,25.491826923076925,37.654274276578995,0.0,100.0,0.0,44.55,24.420829326923077,27.153432190602576,9.7065,71.982,0.2025,47.66175,4837.588782051282,742.733836628568,4638.9,6345.9,4264.025,5649.55,0.8480769230769235,41.38384569973373,0.0,98.55,0.0,20.25,7.834573811994811,8.536936506455294,4.136836359775349,22.391507164023004,0.0,16.859821941680245,14.222477487501205,15.515375348607876,6.295763747885067,44.13312262105806,0.0,27.349535841424697,10.928436813175562,14.799420436416325,5.815944359599839,49.26526031400353,0.0,15.49168800038,8.558049983477757,8.367355919169004,7.952184434273512,26.002852097657726,0.0,16.497645662748376,253.884611288105,200.53464119914818,277.4681302267502,601.3664950618008,0.0,383.70297254931654,19.60243193374246,17.328352413666405,22.54538254459625,56.917154155719416,0.0,28.553032235597364,119.5827472988617,251.33959355900924,163.17188893448474,48.73333333333333,62.198873111277585,-13.927817074100693,206.0003903774981,93.16115091517494,0.15064102564102563,10.380004880000001
3,20190724-182843_2347621_04.csv,131.65447998,0,20190724.carmello,7.443423799582463,11.789055896346309,0.0,30.26666666666667,0.0,15.5,157.391291544571,52.22388342126332,175.50237917771943,214.38691053929944,101.13567647888419,206.49959259325902,26.471920668058452,42.02967383782789,0.0,100.0,0.0,17.375,10.951769311064718,23.78528213485918,0.5940000000000001,69.22800000000001,-0.7965,16.47,5245.516075156576,901.4217647487807,5653.7,6996.3,4306.0,5835.0,14.49770354906054,63.81652821141212,0.0,234.9,0.0,20.250000000000057,6.831660953217343,6.080003758661471,9.44188356583571,14.080949650097335,0.0,12.569742960835578,14.121726796352734,14.058569987165919,10.044081918450015,35.06178906173901,0.0,28.86112943232892,11.217585091915593,17.425465861723968,3.910342353826376,49.69761851808745,0.0,4.330610257646215,6.034464738782463,8.719543679201765,1.0523672963882609,30.938685979621503,0.0,10.310444018146532,319.18034181295843,367.0231914901904,170.7323400926653,1048.7202471119347,0.0,551.1759906959021,30.318374850795053,35.7161419173668,14.02261032902571,94.64355862595417,0.0,59.53883841435871,177.4299947178033,287.1689677694035,268.1782720205133,30.26666666666667,16.077847976647913,-12.527512773858135,202.51456611579917,73.40828175466851,0.24008350730688935,7.963500980000035
4,20190724-183848_2952312_01.csv,116.00999451,1,20190724.carmello,10.000520020800831,14.741235381150702,0.0,35.533333333333346,0.0,26.600000000000005,117.66321715104213,60.284578621812564,85.43993407590153,217.94276152571803,66.08060568275687,181.67665727278893,20.932683307332294,32.818617710281636,0.0,100.0,0.0,37.2,25.16151482059282,28.089056501420878,14.715,71.388,0.2025,51.975,4763.836193447738,854.5846006981916,4815.4,6190.2,3883.5,5587.4,0.06318252730109133,40.74760779227651,0.0,117.45,0.0,18.900000000000006,6.175359296949151,6.672162043674383,2.8172089018481734,16.482719252220353,0.0,13.616417259463221,14.165977650058247,15.337583262232437,6.465178387784944,41.69514194198176,0.0,29.077986241196925,7.957806804196281,11.755613295365764,4.280406386274575,47.09677901905657,0.0,12.363053555496819,8.848595918813215,8.674638422258134,8.971291147765948,28.119012068919826,0.0,16.87451619431089,280.49643645597547,221.33571629750332,321.5678634031064,677.7507971926296,0.0,497.3862190817302,20.436021989628436,16.501079739227528,27.19669475257653,47.16158094611209,0.0,32.0855024469599,110.21785842391182,248.49524673708493,168.34895319352472,35.533333333333346,32.79484202724738,-9.918573895610072,211.2129549412536,95.19881381803872,0.1029641185647426,10.663002020000036
5,20190724-183848_2952312_02.csv,115.32699585,1,20190724.carmello,10.069653524492235,15.23508499225231,0.0,40.8,0.0,24.53333333333333,134.75041969694414,58.54262030487549,115.04137021401127,216.84902690740398,78.87271036884839,206.50978809295327,23.840232974910396,39.64352488258558,0.0,100.0,0.0,41.75,23.33595967741935,26.843287536817797,3.23325,66.6765,0.050625,52.163999999999994,4689.819713261649,960.2694125844786,4790.799999999999,6022.9,3761.8,5724.200000000001,6.9943548387096754,35.037707815617836,0.0,117.44999999999983,0.0,20.250000000000007,8.056778794768402,7.5766340212498,11.863075656946394,18.82970733093377,0.0,14.651657199231824,14.751166913146484,14.698564448699905,9.802473069819793,40.068205321644314,0.0,28.88618553176535,9.231296607240873,16.668720241720784,0.0,49.72664636521504,0.0,12.050807705530008,7.158670070091895,8.530084014991107,0.9909114637278726,22.787696811032323,0.0,15.072330319087712,272.17423755672615,226.41286577494395,288.7388792865012,625.7701080110386,0.0,466.05119989850823,17.167908824767462,15.090479456649792,13.257175261611552,45.80901277801104,0.0,31.23432279733491,129.5460250163287,258.87063005515756,248.86658531648254,40.8,15.599257938711762,-13.682047177918646,205.9190861282169,80.0820087916381,0.1953405017921147,9.296493529999992
6,20190724-183848_2952312_03.csv,113.27749633,1,20190724.carmello,7.685749235474007,10.77904472209041,0.0,31.000000000000004,0.0,19.266666666666666,138.05570191372203,59.70844726143619,133.0894427445964,218.74908403856685,73.85796529925258,206.60577937027801,23.70422018348624,38.837656200427524,0.0,100.0,0.0,31.4,18.796211009174314,23.626102755317937,6.4665,65.8935,-0.2025,30.590999999999998,5340.86495412844,921.2927073074612,5721.9,6939.2,4300.2,6002.8,3.849357798165136,63.152006705041316,0.0,176.84999999999994,-18.900000000000006,20.25000000000001,5.696735604936541,5.1517088616135425,7.495298887700787,13.18747502743065,0.0,9.72198093726275,15.43405914426479,13.394712451735138,16.18882396310482,33.63699108801294,0.0,29.08828260468797,8.857702988568464,14.339300314970636,0.02895152761136271,49.304978674042026,0.0,7.941883656764563,7.679404743027663,8.762366078869242,3.128250188677137,23.75079368791556,0.0,12.393888231360288,334.3408176491075,312.66730848599354,303.6890011940358,889.2111925761869,0.0,624.6480978291802,37.013007779295485,39.33876294457751,16.9110532952645,98.66563144730017,0.0,87.34008466554417,115.42489613229054,269.02376125589353,250.0287993919883,31.000000000000004,11.141055312816832,-9.166204948660779,210.4877522357441,84.74879970477458,0.1577981651376147,9.063476569999978
7,20190724-183848_2952312_04.csv,117.50952149,1,20190724.carmello,9.0267087276551,15.914659681135241,0.0,48.33333333333334,0.0,16.96666666666667,118.84679113027099,56.807002016883374,87.67681361914488,213.5261983901292,72.52292635085115,183.67537022328875,23.144242902208198,36.22894303681682,0.0,100.0,0.0,31.4,23.64859305993691,27.163307189551652,9.2205,70.80749999999998,0.2025,51.72525,5206.872712933754,540.1197550171341,5212.200000000001,6810.6,4753.625,5700.674999999999,0.06175078864353542,41.828621896090546,0.0,118.79999999999953,-18.899999999999984,20.24999999999917,7.178578685298332,8.337732639403267,8.77091621720488e-07,22.152962739190286,0.0,16.267325713338565,13.69250466210759,14.640360626638536,7.069725523536736,42.16973626568089,0.0,25.695133579447525,8.816288391250307,14.796188891118875,0.25820407962023345,49.71039520962377,0.0,13.812483058129208,8.227072679366367,8.590557679114358,4.724981861938987,25.92632500638446,0.0,16.91596371859469,239.53571331586153,176.4022849337431,295.1311165430589,670.0080069256417,0.0,378.0399214042047,22.263083345354204,17.933293084264626,28.055103537441767,51.328762896669474,0.0,36.94268639537363,117.01032710498475,239.10797025721604,178.9194250872356,48.33333333333334,39.731741148199454,-15.266443667302408,203.3326935433493,92.5077301153412,0.1529968454258675,10.54598999000001
8,20190724-184911_3575098_01.csv,112.81100464,2,20190724.carmello,10.236569579288027,19.24502588682073,0.0,53.40000000000001,0.0,0.10000000000000002,121.9174937854639,61.88551705548244,81.82849992385063,219.5799762364647,70.70879091746478,204.54615768661785,23.37799352750809,37.69764373447283,0.0,100.0,0.0,31.050000000000004,25.428997572815536,27.104862318145994,18.832500000000003,68.8365,-0.0,54.475875,4756.745954692557,800.7483010969821,4496.75,6190.1,4038.9,5737.725,0.2861650485436906,42.65583536230062,0.0,118.79999999999988,0.0,20.249999999999613,9.201987760329416,10.721834475645398,1.2385566156920045e-06,24.658132325507637,0.0,21.64475331328506,14.736339741437614,17.449318603945414,5.3632590642009035,49.87495721861926,0.0,28.809981837129836,9.088456916017336,15.754612848268073,8.672548121521923e-07,49.69168781536505,0.0,8.877430641528662,7.563704365244732,7.385052077854005,7.552526924030338,19.78062293758453,0.0,15.144184344304042,274.1144957123185,246.80933284359378,266.9416687333536,777.3385672074261,0.0,409.90215273076336,19.9870308679949,16.198989833960336,25.06801170200756,53.697638372384276,0.0,32.77275387632177,135.3158110318427,236.19328539992784,182.4483550410473,53.40000000000001,61.66246580533694,-21.809256819800883,209.08560924170368,82.75729205439241,0.17475728155339806,10.27999878
9,20190724-184911_3575098_02.csv,114.27799988,2,20190724.carmello,8.949822064056942,14.448659183344537,0.0,41.40000000000001,0.0,12.433333333333334,134.06433972887558,56.822568194769296,107.90980108583507,215.24205022117405,81.49761354782183,203.49833913663394,22.356583629893237,36.99679589731632,0.0,100.0,0.0,44.012499999999996,23.526608540925267,26.190189841449353,7.55325,64.3275,0.2025,54.5265,5138.246797153025,541.1481420612938,5138.549999999999,6006.1,4699.775000000001,5640.700000000001,0.17535587188612212,45.55813099528999,0.0,117.45,0.0,18.900000000000716,7.736557093309436,7.448939826970788,6.7382197317673445,17.380059631902515,0.0,15.148871109798549,14.369353747410706,14.222759985296738,9.536479630469469,38.955065689551134,0.0,27.725917986493002,8.077277006654304,14.555984903418572,0.0,49.364323515884465,0.0,12.52488208931738,7.658207956960715,8.37208049938571,3.7890513280007836,22.546644584635487,0.0,15.264233332450967,212.63699089101158,159.67132497814302,306.071383365133,403.79368506267036,0.0,329.98192098287996,18.300887946712123,17.01696487070394,24.174924298673808,60.51921136690695,0.0,29.93838404544937,112.4761450740234,261.87722748075385,230.80642396579833,41.40000000000001,17.019561379428392,-11.776460020979117,206.4655131911148,91.8953911214616,0.15302491103202848,9.363494869999997
