run_no,file,lap_time,session,username,brake_mean,brake_std,brake_median,brake_max,brake_q25,brake_q75,CHA_Speed_mean,CHA_Speed_std,CHA_Speed_median,CHA_Speed_max,CHA_Speed_q25,CHA_Speed_q75,throttle_mean,throttle_std,throttle_median,throttle_max,throttle_q25,throttle_q75,steer_mean,steer_std,steer_median,steer_max,steer_q25,steer_q75,engineRPM_mean,engineRPM_std,engineRPM_median,engineRPM_max,engineRPM_q25,engineRPM_q75,steer_speed_mean,steer_speed_std,steer_speed_median,steer_speed_max,steer_speed_q25,steer_speed_q75,rolling_std__brake_mean,rolling_std__brake_std,rolling_std__brake_median,rolling_std__brake_max,rolling_std__brake_q25,rolling_std__brake_q75,rolling_std__CHA_Speed_mean,rolling_std__CHA_Speed_std,rolling_std__CHA_Speed_median,rolling_std__CHA_Speed_max,rolling_std__CHA_Speed_q25,rolling_std__CHA_Speed_q75,rolling_std__throttle_mean,rolling_std__throttle_std,rolling_std__throttle_median,rolling_std__throttle_max,rolling_std__throttle_q25,rolling_std__throttle_q75,rolling_std__steer_mean,rolling_std__steer_std,rolling_std__steer_median,rolling_std__steer_max,rolling_std__steer_q25,rolling_std__steer_q75,rolling_std__engineRPM_mean,rolling_std__engineRPM_std,rolling_std__engineRPM_median,rolling_std__engineRPM_max,rolling_std__engineRPM_q25,rolling_std__engineRPM_q75,rolling_std__steer_speed_mean,rolling_std__steer_speed_std,rolling_std__steer_speed_median,rolling_std__steer_speed_max,rolling_std__steer_speed_q25,rolling_std__steer_speed_q75,bkpoint_relative,bkrelease_relative,brkmax_relative,brkmax_brake,brkpoint_grad,brkrelease_grad,speed_entry,speed_exit,porc_full_throttle,segment_time
0,20190724-182843_2347621_01.csv,190.20149994,0,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,177.68373452659873,10.203619136148566,178.0453676257711,194.241007760866,169.3668180333096,186.60497451503798,96.35927835051545,4.841692473197889,98.2,98.4,98.1,98.25,-0.007237113402061901,1.6572938599731122,0.0,3.3345,-1.5795,1.1745,5966.898969072165,318.51835567277135,5976.6,6573.1,5702.0,6217.025,2.025,18.121141897760097,0.0,59.400000000000006,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,158.64931342844446,194.241007760866,0.8556701030927835,3.21549988000001
1,20190724-182843_2347621_02.csv,124.82400513,0,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,186.83283603556012,7.717433623181378,188.32177133611958,198.2475185425936,180.33556864167818,193.4896559188707,99.99266304347827,0.06785532297661236,100.0,100.0,100.0,100.0,-0.0009538043478260652,0.9449631569923134,0.2025,1.7685,-0.3915,0.5940000000000001,5622.576086956522,270.30891511190674,5601.3,6110.0,5384.55,5864.7,0.4255434782608698,13.05434310947729,0.0,40.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,171.95274145114638,198.2475185425936,1.0,3.049011229999948
2,20190724-182843_2347621_03.csv,116.91000366,0,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,195.11892902625752,7.179272237430186,195.98149032766437,205.79606933874317,189.04434317642352,201.45512214772987,100.0,0.0,100.0,100.0,100.0,100.0,0.035821022727272674,3.0202196789658635,-0.594,8.235,-1.7819999999999998,0.5940000000000001,6009.249431818182,301.5925950203418,6055.8,6476.4,5674.650000000001,6267.475,0.3298295454545456,29.63655136047728,0.0,78.30000000000004,-18.9,18.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,181.48284471602932,205.79606933874317,1.0,2.916015630000004
3,20190724-182843_2347621_04.csv,131.65447998,0,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,187.95551169944568,8.780644881358226,188.33607195668066,202.26266540339276,180.3884750376189,195.6201570543268,97.72431693989071,4.522258315556905,100.0,100.0,100.0,100.0,-0.6569262295081968,2.5326622093719404,0.0,1.5659999999999998,-1.1880000000000002,0.9855,6091.0650273224055,275.1098361691285,6101.3,6539.9,5850.35,6332.1,4.964754098360655,19.95309267993674,0.0,78.30000000000004,0.0,18.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,172.6863901546616,202.26266540339276,0.7978142076502732,3.0314941399999498
4,20190724-183848_2952312_01.csv,116.00999451,1,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,200.17969123771508,7.0290926532600855,200.61339335811059,211.02113043481117,194.24303105073056,206.4191867441051,100.0,0.0,100.0,100.0,100.0,100.0,-0.23526315789473687,0.904107499978309,0.0,0.7829999999999999,-0.7965,0.49275,6339.893567251463,277.7678158941594,6376.5,6739.6,6171.5,6561.6,0.0,10.29379881859205,0.0,20.250000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,187.28029688541184,211.02113043481117,1.0,2.832496639999988
5,20190724-183848_2952312_02.csv,115.32699585,1,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,193.2876621351157,7.9507910400491975,193.71823934126598,205.61211830640326,186.55267826599973,200.33306262813437,100.0,0.0,100.0,100.0,100.0,100.0,0.2939491525423729,1.4347286854346144,0.2025,3.7260000000000004,-0.3915,0.9855,6136.532203389832,274.9931123769768,6161.1,6566.4,5928.1,6367.8,1.0067796610169488,15.309248145321785,0.0,40.49999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,178.83390294080147,205.61211830640326,1.0,2.931991580000016
6,20190724-183848_2952312_03.csv,113.27749633,1,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,198.39116143806135,7.401755013220621,198.792810744578,210.2591080728272,192.1500872589107,204.85410690126568,100.0,0.0,100.0,100.0,100.0,100.0,-0.30142241379310347,0.78001711187168,-0.3915,0.7829999999999999,-0.7965,0.3915,6417.80459770115,231.65439471647355,6431.6,6785.6,6221.725,6618.975,0.5663793103448277,10.903086167269288,0.0,39.14999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,184.89729730935062,210.2591080728272,1.0,2.882507319999945
7,20190724-183848_2952312_04.csv,117.50952149,1,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,190.2767702605551,8.374465006130176,190.83538108456509,203.1143033109033,183.1677722025706,197.74433073493663,100.0,0.0,100.0,100.0,100.0,100.0,0.11545856353591166,0.7918265976673684,0.2025,1.5659999999999998,-0.3915,0.5940000000000001,6010.221546961327,280.29877240353187,6030.9,6462.1,5773.3,6251.7,-0.3281767955801105,10.671408138453826,0.0,20.25000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,174.9634757036245,203.1143033109033,1.0,2.998504639999936
8,20190724-184911_3575098_01.csv,112.81100464,2,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,198.7186159421974,6.71771468572709,199.56645850511046,208.89493759462147,193.05961633727551,204.56634441393726,100.0,0.0,100.0,100.0,100.0,100.0,-0.4238843930635839,1.25777219923243,-0.2025,0.9855,-1.1880000000000002,0.3915,6027.265317919076,311.81022023231174,6096.0,6504.6,5715.5,6304.9,1.591907514450867,11.955468163758896,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,186.0302311038332,208.89493759462147,1.0,2.8655014100000074
9,20190724-184911_3575098_02.csv,114.27799988,2,20190724.carmello,0.0,0.0,0.0,0.0,0.0,0.0,195.85798891605393,6.914384212264263,196.88866212878384,206.25275904067607,190.04749317212855,201.8461121651784,100.0,0.0,100.0,100.0,100.0,100.0,0.05091428571428577,0.8890822958633998,0.2025,1.3769999999999998,-0.3915,0.5940000000000001,5919.750285714285,302.3767401339855,5970.7,6403.8,5628.1,6191.0,-0.2237142857142857,11.190658071749743,0.0,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,182.59512834622947,206.25275904067607,1.0,2.899505609999977
