run_no,file,lap_time,session,username,brake_mean,brake_std,brake_median,brake_max,brake_q25,brake_q75,CHA_Speed_mean,CHA_Speed_std,CHA_Speed_median,CHA_Speed_max,CHA_Speed_q25,CHA_Speed_q75,throttle_mean,throttle_std,throttle_median,throttle_max,throttle_q25,throttle_q75,steer_mean,steer_std,steer_median,steer_max,steer_q25,steer_q75,engineRPM_mean,engineRPM_std,engineRPM_median,engineRPM_max,engineRPM_q25,engineRPM_q75,steer_speed_mean,steer_speed_std,steer_speed_median,steer_speed_max,steer_speed_q25,steer_speed_q75,rolling_std__brake_mean,rolling_std__brake_std,rolling_std__brake_median,rolling_std__brake_max,rolling_std__brake_q25,rolling_std__brake_q75,rolling_std__CHA_Speed_mean,rolling_std__CHA_Speed_std,rolling_std__CHA_Speed_median,rolling_std__CHA_Speed_max,rolling_std__CHA_Speed_q25,rolling_std__CHA_Speed_q75,rolling_std__throttle_mean,rolling_std__throttle_std,rolling_std__throttle_median,rolling_std__throttle_max,rolling_std__throttle_q25,rolling_std__throttle_q75,rolling_std__steer_mean,rolling_std__steer_std,rolling_std__steer_median,rolling_std__steer_max,rolling_std__steer_q25,rolling_std__steer_q75,rolling_std__engineRPM_mean,rolling_std__engineRPM_std,rolling_std__engineRPM_median,rolling_std__engineRPM_max,rolling_std__engineRPM_q25,rolling_std__engineRPM_q75,rolling_std__steer_speed_mean,rolling_std__steer_speed_std,rolling_std__steer_speed_median,rolling_std__steer_speed_max,rolling_std__steer_speed_q25,rolling_std__steer_speed_q75,bkpoint_relative,bkrelease_relative,brkmax_relative,brkmax_brake,brkpoint_grad,brkrelease_grad,speed_entry,speed_exit,porc_full_throttle,segment_time
0,20190724-182843_2347621_01.csv,190.20149994,0,20190724.carmello,3.9623787825680576,8.896424157188214,0.0,37.26666666666667,0.0,0.0,90.64702523679692,66.06753953753261,96.02840531638367,228.27200372373304,18.445322626628453,139.49620326784043,26.764725727304597,33.679371584945095,10.45,100.0,0.0,44.35,19.87031664037855,42.42966860238203,0.9855,81.0,-9.882,81.0,4097.035567823344,1906.9335748912902,4799.85,7402.7,2103.275,5645.325000000001,0.0017744479495268935,50.6859942041454,0.0,336.15000000000003,0.0,0.0,3.5244665363873806,4.86709802336117,8.859104347760935e-07,15.160758416271936,1.7144879353541358e-07,7.570047403148401,8.742178663509794,7.054593485990373,7.530573963819602,36.536862825431406,3.2630811879921198,12.554794328509422,11.061181020405451,10.978777667058521,8.294341366609833,48.825275859448766,3.1003095870008917,14.74934894403255,9.462474234082238,13.399084054430704,4.45329233462452,72.83241059379483,1.211902596071742e-06,12.579431902797632,454.1273989774416,380.2863466178291,353.17015034656174,1882.0092591786888,211.09547682145478,561.6872768247647,31.624468508408224,34.789461869930186,20.98239749074928,198.24653963534126,5.202538142579762,46.768629089159276,435.0354787044906,4103.577049068148,2313.439295987392,37.26666666666667,0.7212996778374668,-0.2365702043996146,195.0528665665306,214.47861515208646,0.09253417455310199,190.18449974
1,20190724-182843_2347621_02.csv,124.82400513,0,20190724.carmello,3.4438954911648194,9.428835778072745,0.0,53.46666666666668,0.0,0.0,132.25330055393053,46.55338621603096,123.26611126521355,241.27616297491798,94.66920185085749,163.81695727276104,41.43679396448124,39.51253001139073,30.95,100.0,0.0,89.75,-2.594523701428763,23.3234701987902,-1.1880000000000002,63.747,-15.606,3.3345,5413.072025637603,1011.308657388401,5580.0,7302.7,4698.9,6208.8,1.8216611732666475e-16,39.39899474935389,0.0,198.44999999999987,-18.900000000000006,18.900000000000006,4.194012165486831,6.131851847529445,1.0105912371063147e-06,21.454836026982917,8.459179833418332e-07,9.498249713869644,11.032310739941746,7.7990812444648325,9.627127482173576,38.02666128005969,4.7803516297749855,14.483378206476463,15.012162882562844,13.426247840501,11.875996839933515,49.71054211557705,4.6071852338370105,22.43805798707007,9.073492382176472,9.038506439116263,6.50953169837404,58.740171951810225,2.6017037016454476,12.412835813587394,378.6078181627464,233.88070651657102,330.0659867314281,1198.1907276129505,221.09750704621985,481.56528226229636,30.639687825530363,18.78922086828133,26.667726969995524,114.78315161823431,17.018115885105797,39.772295463452366,473.9891769905525,3953.481750160171,1474.5685693954124,53.46666666666668,2.0933249214715763,-0.5291188950534202,214.5792269976495,222.6750693589707,0.24355721725196955,124.80700684
2,20190724-182843_2347621_03.csv,116.91000366,0,20190724.carmello,4.258170586837728,11.784063330242068,0.0,51.8,0.0,0.0,141.04889666916654,47.45604040413123,134.08251352990666,243.73682392759613,104.08830640475968,176.70433338746668,49.5643406985032,41.15764266924445,44.75,100.0,0.0,99.3,-1.895665573770492,24.071162764781,-1.5795,71.982,-16.2,3.537,5669.325103349965,818.3775293732225,5766.3,7316.1,5245.35,6297.45,0.002694226657163364,42.407596312334114,0.0,296.9999999999999,-18.900000000000006,20.24999999999988,4.889017241050709,7.48204959381278,3.004395470092315e-07,23.280424529544625,0.0,8.800162705972618,12.546948641253605,9.519002844728794,10.479629280699239,44.13312262105821,6.105257924689669,15.532738606855247,17.31133971517768,13.716539353058188,15.490605712063,49.55110471667814,5.815944359595614,25.213441192481262,9.851560157656209,8.84179867106361,7.621260091020003,49.96048214972619,2.8500310888202467,13.851971478909125,371.52015697109516,200.63734671698194,341.06572001678325,1189.5696684010081,270.97788197269256,440.8203468765031,33.265796339369835,20.50024390896948,28.379543113600057,107.25206408123776,18.364453864018074,42.851784588647966,463.2470791239315,3911.1101213202282,2289.024150513484,51.8,1.1021276595744678,-0.5565852449444112,222.75625346276593,224.82007102144595,0.30634354953670706,116.89349364999998
3,20190724-182843_2347621_04.csv,131.65447998,0,20190724.carmello,1.8728868633160316,7.041545618507271,0.0,46.8,0.0,0.0,126.6505467456861,49.180960536800974,120.97334622193108,232.39282270818956,90.79683627221428,159.44825967140252,43.36883782757312,39.85647389396071,34.8,100.0,0.0,88.14999999999998,-1.298496961640714,27.90874068663285,-1.3769999999999998,76.491,-14.0265,5.4945,5387.342587669325,1230.8984899698128,5778.4,7355.3,4927.15,6215.65,-0.0025636156475506828,61.5216970824121,0.0,413.1,-20.24999999999999,20.24999999999999,2.7000891783145082,5.157357361000678,3.986103482793683e-07,19.988000587957448,3.345886040399968e-07,1.9756821719770443,13.3543505225935,10.758261371220447,10.634075849563368,76.40119897098799,6.434385242501939,17.261628065894087,18.28801097036989,13.957580044474712,17.61301050738324,49.69761851808777,5.984480425849893,27.219520259328426,12.83123020316766,11.75072634914003,9.044683422091836,63.397135068410975,3.7706599716941627,20.909230912769218,559.6481279074985,495.87999321210526,364.03856783226826,2832.049527366532,297.1436310198368,677.5022376927313,48.004626204620905,32.644503906301914,35.947143790166045,130.82140676160546,22.02298980240208,67.7327173260559,541.5370521823852,4001.2342208354466,2336.031543677564,46.8,0.8855587179977991,-0.46606833676019,224.8969817921726,219.94411315066378,0.22028104823395367,131.63800048999997
4,20190724-183848_2952312_01.csv,116.00999451,1,20190724.carmello,3.5291098022314804,9.509541187796042,0.0,40.06666666666667,0.0,0.0,142.1768349585237,47.96011040735671,138.10494379822902,240.49544765678039,105.10740759234812,178.18923943693122,48.151386295072555,41.812918321056145,43.45,100.0,0.0,100.0,-2.85796027869559,25.12915222272611,-1.1880000000000002,71.388,-15.4035,2.16,5764.137566441604,801.0493504702736,5916.4,7371.1,5344.2,6332.1,-7.186066455611414e-16,48.60620650024879,0.0,295.65,-18.900000000000006,20.249999999999346,3.7950196997371837,5.866960135361816,1.9026551487313422e-06,17.32639082715952,9.886389011256556e-07,9.396602204963656,12.513435628230138,8.748277473454914,10.308593287185642,41.69514194198086,6.121923009143197,16.51537267600302,17.780347128270087,14.410488376272296,16.471964792355827,49.76287827559175,4.83034004233979,26.432535426684293,10.935640613295458,10.555694604239108,7.67458867854671,62.35657470517119,3.1516672328589017,15.0039915112197,386.0822605388788,197.39504676477674,356.6436279826857,1153.9175355584678,278.8114902573055,488.3265637411436,35.7916932075566,27.782789215181992,28.31023045081744,145.79638673286564,18.76712534509741,47.21239436747039,505.91729558502715,3918.671214980523,1861.6323740025007,40.06666666666667,1.2096692434879865,-0.4393178345018068,215.59613292295944,225.70695173003418,0.2937796293635972,115.99349594
5,20190724-183848_2952312_02.csv,115.32699585,1,20190724.carmello,3.433342967244702,9.451009106113126,0.0,55.6,0.0,0.0,143.7365443836463,46.70058527107426,137.82237957140734,245.48595552657105,105.51733434250951,176.34266933947947,48.92513005780347,41.2681343722504,51.625,100.0,0.0,91.2875,-2.3814019508670516,24.011423457737582,-0.891,66.6765,-14.823,3.132,5646.107167630058,777.3983997736207,5808.0,7256.6,5102.75,6239.424999999999,-0.005657514450867263,48.04266957176782,0.0,395.54999999999995,-18.900000000000006,20.2499999999997,4.2612274793827565,6.109766056210596,6.40527864333402e-07,21.75089928379571,0.0,10.288068773547101,11.849910825462315,8.037455507005902,10.215128860079014,40.06820532164357,6.338302150197627,15.241048932106795,18.132117494918738,14.327999115836812,16.21645951654882,49.77064018194472,5.15200511328055,28.26334393139684,10.518053061706716,9.675213286068427,7.434532528996479,51.25315465996593,3.2625251401834277,15.673717201532263,382.18096804294714,184.95844951770567,357.8010590430946,903.281586225397,287.4290035774258,466.440680825918,35.85493493945238,27.379624713407065,27.477437066412982,151.9267613804601,18.145995846572298,47.24315328269084,483.0486601666154,3938.442948431719,1880.43357751858,55.6,1.6803164925435228,-0.6024814194605624,225.78102163671062,226.32208703145875,0.230635838150289,115.31048583999998
6,20190724-183848_2952312_03.csv,113.27749633,1,20190724.carmello,3.418579556601922,10.28764317500271,0.0,47.4,0.0,0.0,146.2714632987826,47.308864834479486,141.66239743987157,245.64913358915803,107.79013251036098,180.40037110895491,52.44927898763979,42.904546485419296,59.349999999999994,100.0,0.0,100.0,-3.4572137286639206,23.957311996020323,-1.5795,80.60849999999998,-16.2,2.943,5851.569114184815,748.8010012822335,5978.25,7309.2,5468.5,6395.400000000001,-0.002979693937610894,50.76762351223841,0.0,336.1499999999999,-19.237500000000907,18.900000000000095,4.304602250287751,6.935633433349374,1.1167805883060022e-06,21.66529236460929,5.428720812855375e-07,8.936693202976986,12.788613091802784,9.08738164789414,10.114739762088627,45.231173871896644,6.423564059782792,16.91812302277519,19.197084851426634,15.69935719994526,15.91490739492395,49.76610790972502,5.880711489965272,31.989193058736916,10.899077492903919,10.115097864955972,8.094883057090732,54.730767424488626,3.247107537677716,15.738596134935248,401.1256717427871,212.13246232383,365.75156667662463,1218.8811567165696,288.3170249550832,477.0593017703559,39.310450930699695,27.59723195436591,32.0507555983023,142.4068324048319,20.04567773810342,48.601364040541455,489.51640103268545,3935.6357134452387,2262.931143557523,47.4,1.0471084576112322,-0.5272435896077573,226.39500904329142,225.22737282439186,0.31400824014125955,113.26098632000004
7,20190724-183848_2952312_04.csv,117.50952149,1,20190724.carmello,3.3394695787831514,9.316539679115305,0.0,48.33333333333334,0.0,0.0,140.3168424906424,51.52930959528816,131.00804007208106,244.9148064280116,104.35159881725552,179.75292745303446,51.18048503758332,42.65193998355116,55.8,100.0,0.0,100.0,-1.686025741029642,24.437838721977002,-0.3915,70.80749999999998,-15.606,3.9285,5637.022280527585,1110.1574153813515,5874.5,7354.7,5292.15,6322.9,2.579760890009724e-16,50.41890431937169,0.0,276.75000000000006,-18.900000000000183,20.2499999999997,3.8566234589490067,5.975260636253871,0.0,22.152962739190276,0.0,8.980275248143998,13.103259576509219,8.32435935315424,11.688955274313237,42.16973626568019,6.858870438282043,17.42992459271426,18.535323298365785,14.923884712878378,17.265704641974622,49.713311814925824,4.986476851339786,30.241906398692073,10.762942214113714,8.417080198572968,9.271740113047464,40.67186714085615,3.6747752055478813,15.823748841364164,423.0225391013491,324.2165036702693,354.4484870806024,2444.728762398712,289.75501122074104,460.37313802658696,38.75917700072066,27.638322013820446,33.4157804465457,126.49901978859307,20.853503361539698,47.35481641181465,463.364825442961,3920.1289553798415,3179.403386720844,48.33333333333334,0.6961849580531835,-0.5112772698745797,225.3070937464864,226.35662720238608,0.31513260530421217,117.49252320000001
8,20190724-184911_3575098_01.csv,112.81100464,2,20190724.carmello,3.255980696311617,10.428669588521162,0.0,53.40000000000001,0.0,0.0,146.98341325947732,46.69009446832913,143.39402741803158,240.02346157366864,110.30667363496009,182.89951047206227,52.10193529324863,42.95201553182123,51.9,100.0,0.0,100.0,-2.2384671295612355,24.440392856455915,-0.7965,68.8365,-15.2145,3.3345,5764.305436548973,756.955228528375,5913.0,7299.1,5317.6,6307.4,-0.002991579258383607,47.639915584240896,0.0,275.4,-18.900000000000006,18.900000000000006,4.174882840388469,7.001064993974072,8.880489994158453e-07,24.658132325507633,0.0,9.491846517253153,12.294749165932913,9.004737917548443,9.667922170434162,49.874957218620146,5.878318723341276,15.706290577486508,17.97983341864964,15.162720351340592,16.11799515570069,49.78276413541431,2.8607196686495775,27.917554048623145,10.574742719492406,9.87216579385193,8.06921571399317,54.59443525347277,2.5218815718644128,15.646761802671067,382.1992258671492,184.4362014220538,361.87627799829335,1036.3663686114892,286.11406818096725,447.1078303806547,34.8478058038975,27.814974408688357,26.587021671424218,120.64707079413908,16.310826313376104,46.317704261738534,498.60380186775876,3935.5491895293158,3182.808899311279,53.40000000000001,0.8416804737754705,-0.603369336540585,206.5289604217675,226.96340231743798,0.34909144629930566,112.79450226
9,20190724-184911_3575098_02.csv,114.27799988,2,20190724.carmello,4.2111613436391035,11.666053098319884,0.0,56.8,0.0,0.0,144.90570750415506,49.22641897512953,140.3033706191152,246.19762301590808,102.18694181006886,181.50624650976616,54.64867288901852,43.26930573046032,60.05,100.0,0.0,100.0,-2.2035299693743626,25.664751992223863,-0.7965,69.22800000000001,-16.4025,3.3345,5627.004870934811,774.1004496767885,5699.1,7319.2,5135.4,6198.5,1.3263740728787054e-16,50.04675301028841,0.0,395.55000000000007,-18.900000000000006,20.24999999999988,4.792876069288298,7.525224288034673,1.2537425953100655e-06,25.99944849949816,1.0029456603323905e-06,11.982276689435974,13.361273552047493,9.600955990666868,11.106708276175814,47.821211713966115,6.450979701387591,17.359373677211625,18.799409703676424,15.749510984864225,16.46978579766835,49.72829138246245,2.873816295539419,30.893825283391124,11.298016518219471,10.647029410321407,8.042741714596636,59.145750640421106,3.1237620780224917,16.607001636297166,369.490647212816,191.3789521000974,345.8716382630534,1193.6337349605615,268.37715959999144,434.52614814858214,36.55851241585975,29.147362382219654,28.96753616889009,150.81701029966285,18.103338900162786,42.60392227723286,496.20189399421304,3924.7944065337238,1874.946448275352,56.8,1.6557106297532196,-0.6288820718682481,227.03869003971985,226.71768762807014,0.3904039667493073,114.26100159000003
