SimStep,VehicleAccLateral,VehicleAccLongitudinal,VehicleAccVertical,AvailableControl,AvailableSteer,VehicleFloatAngle,CHA_Speed,SpinTendency,StabilityIndex,VehicleYawMoment,VehicleYawRate,ActualCurvature,BrakeBias,BrakePressureFront,BrakePressureRear,DriverGap,DriverAcceleratorPedal,DriverSteeringWheelAngle,DemandCurvature,ReferenceTrackPositionX,ReferenceTrackPositionY,RoadBanking,CombinedGrip,CombinedGripFL,CombinedGripFR,CombinedGripRL,CombinedGripRR,RoadGradient,position.x,position.z,VehiclePositionZ,TyreSaturationBalanceLateral,TyreSaturationBalanceLongitudinal,TyreSaturationLateralFL,TyreSaturationLateralFR,TyreSaturationLateralRL,TyreSaturationLateralRR,TyreSlipAngleFL,TyreSlipAngleFR,TyreSlipAngleRL,TyreSlipAngleRR,tel_time,lapDistance,VehicleHeading,VehicleHeadingDemand,LapNumber,SpeedTrackX,SpeedTrackY,Gear,CurrentGear,EngineTorque,engineRPM,TrackCurvatureLADist1,TrackCurvatureLADist2,TrackCurvatureLADist3,TrackCurvatureLADist4,TrackCurvatureLADist5,TrackCurvatureLADist6,TrackCurvatureLADist7,TrackCurvatureLADist8,DemandSpeed,vehicleYawAcceleration,DriverBrakePedal,SimStep.1,steer,throttle,brake,Unnamed: 68
97300,-0.542111,1.39628,0,0.0,5.83239,-3.70042,163.4706,-0.037176999999999995,-0.49068199999999995,0,-84.1686,-0.000262914,59,14750000.0,10250000.0,0.00972668,99.9833,-24.7551,9.019639999999999e-05,603.496,526.297,0.868448,0,0,0,0,0,0.000155394,603.519,526.288,0,138.368,138.246,107.575,105.098,62.0585,70.1494,7.8689,8.24484,-1.37879,-1.45239,48.6495,1.62679,0.0159133,-0.023531,1,0,0,4,4,253.822,6492.96,0.000141346,-9.778860000000001e-05,5.89884e-05,0.000147918,0.00012164,2.7694299999999997e-06,-7.32364e-05,0.000149546,281.0,-1481.23,0.0,97300,-179.998,100.0,0.0,
97400,-23.8992,-1.0902100000000001,0,0.0,3.4273300000000004,0.440366,163.60631999999998,-0.0637573,-0.44296199999999997,0,-105.735,-0.011571399999999999,59,14750000.0,10250000.0,-0.030363900000000003,99.9952,37.6101,0.000127851,605.768,526.28,0.9325620000000001,0,0,0,0,0,0.000155311,605.7909999999999,526.31,0,96.6351,95.387,110.936,102.63,93.4155,96.262,10.7531,11.2421,2.86362,3.0434900000000003,48.6995,3.8983199999999996,-0.00040914300000000005,-0.00691308,1,0,0,4,4,253.544,6504.69,0.00011266399999999999,-9.55261e-05,6.80315e-05,0.000152215,0.000122602,-1.7468599999999997e-05,-5.2668000000000005e-05,0.000146854,281.0,144.047,0.0,97400,-179.94400000000002,100.0,0.0,
97500,-25.0838,-2.8635900000000003,0,0.0,1.0978,3.895,163.1178,-0.0309853,0.0,0,-94.5225,-0.0122179,59,14750000.0,10250000.0,-0.015146399999999999,99.9986,99.738,0.000159995,608.0369999999999,526.263,0.983274,0,0,0,0,0,0.000155235,608.06,526.278,0,86.8768,88.6018,114.197,100.0,100.432,105.818,14.6959,15.4956,6.22933,6.59053,48.7495,6.16766,-0.0282661,0.0212987,1,0,0,4,4,249.062,6659.62,7.80043e-05,-8.17889e-05,6.956079999999999e-05,0.00015127899999999999,0.000123909,-3.71465e-05,-2.8043899999999998e-05,0.00014469100000000001,281.0,363.13800000000003,0.0,97500,180.0,100.0,0.0,
97600,-1.14632,-0.558811,0,0.042170599999999996,3.9963699999999998,5.96908,163.13292,0.298535,-0.42030200000000006,0,-2.63944,-0.00055825,59,14750000.0,10250000.0,0.040934,99.9996,103.79299999999999,0.000179193,610.302,526.248,1.01518,0,0,0,0,0,0.000155159,610.3240000000001,526.206,0,93.6322,93.3589,103.788,109.49,104.314,100.09700000000001,-8.94927,-8.22281,6.23792,6.24714,48.7995,8.43247,-0.0333284,0.0267746,1,0,0,4,4,252.845,6528.58,4.12404e-05,-6.40634e-05,7.27809e-05,0.00014777399999999998,0.000119567,-5.67938e-05,2.4926499999999998e-06,0.000140722,281.0,1659.93,0.0,97600,180.0,100.0,0.0,
97700,-0.396154,1.4984,0,0.0,5.73684,3.8717,163.25424,-0.0453277,-0.48239399999999993,0,82.0157,-0.000192637,59,14750000.0,10250000.0,0.10494200000000001,99.9999,43.9906,0.000187092,612.567,526.2330000000001,1.0368600000000001,0,0,0,0,0,0.000155076,612.589,526.128,0,126.485,126.071,104.955,107.31200000000001,77.465,67.4686,-8.16034,-7.78074,1.67645,1.5949799999999998,48.8495,10.6978,-0.0362841,0.030148,1,0,0,4,4,253.78900000000002,6494.37,5.95038e-06,-4.8046899999999996e-05,7.486850000000001e-05,0.00014422,0.000112281,-7.822350000000001e-05,3.59397e-05,0.00013132200000000001,281.0,1555.46,0.0,97700,180.0,99.999,0.0,
97800,23.8484,-1.08402,0,0.0,3.38901,-0.32358600000000004,163.40292,-0.055724800000000005,-0.445378,0,106.81700000000001,0.0115756,59,14750000.0,10250000.0,0.161974,100.0,-18.365,0.000199446,614.835,526.22,1.06472,0,0,0,0,0,0.000154994,614.857,526.057,0,97.7077,96.3965,103.921,110.885,95.7061,92.4099,-11.0734,-10.6018,-2.95452,-2.77825,48.8995,12.966,-0.0210917,0.015415,1,0,0,4,4,253.797,6494.08,-1.85961e-05,-3.43658e-05,8.25675e-05,0.000144998,0.00010662100000000001,-9.833159999999999e-05,7.11625e-05,0.00012123200000000001,281.0,-119.348,0.0,97800,174.18200000000002,99.975,0.0,
97900,25.3455,-2.91146,0,0.0,1.19654,-3.87679,162.9162,-0.0196671,0.0,0,96.8026,0.0123759,59,14750000.0,10250000.0,0.166904,99.9353,-80.6054,0.00020778900000000003,617.102,526.207,1.08504,0,0,0,0,0,0.000154917,617.123,526.04,0,87.6802,89.6599,100.0,113.436,106.46600000000001,100.429,-14.8904,-14.142999999999999,-6.637519999999999,-6.26486,48.9495,15.2325,0.0064893,-0.011695,1,0,0,4,4,248.945,6662.92,-3.6089e-05,-2.20457e-05,9.137799999999999e-05,0.000142396,0.000101229,-0.00011104600000000001,0.000102557,0.00011227299999999999,281.0,-334.971,0.0,97900,-179.422,99.99700000000001,0.0,
98000,1.0580399999999999,-0.41763900000000004,0,0.03899880000000001,3.7727,-6.0910400000000005,162.94536,0.295552,-0.42013100000000003,0,4.76221,0.000516444,59,14750000.0,10250000.0,0.133739,99.91,-85.0844,0.000206674,619.364,526.196,1.09711,0,0,0,0,0,0.000154843,619.386,526.062,0,94.2372,93.9784,109.23,103.19,100.338,104.87700000000001,8.12143,8.85398,-6.43053,-6.412640000000001,48.9995,17.4949,0.0109999,-0.015728100000000002,1,0,0,4,4,252.92,6525.82,-4.97747e-05,-9.64095e-06,0.00010254200000000001,0.000140168,8.95866e-05,-0.00011371100000000001,0.000129176,0.000105326,281.0,-1649.52,0.0,98000,-179.99900000000002,100.0,0.0,
98100,1.59694,1.44176,0,0.030996100000000002,5.57545,-4.11851,163.07352,0.15623399999999998,-0.470991,0,-80.2011,0.0007782630000000001,59,14750000.0,10250000.0,0.0957298,99.9744,-25.9957,0.000198394,621.627,526.185,1.10238,0,0,0,0,0,0.000154768,621.649,526.09,0,115.82799999999999,115.26700000000001,107.015,104.62200000000001,75.0357,84.2542,7.60887,7.98842,-1.8747599999999998,-1.9679099999999998,49.0495,19.7583,0.013756399999999998,-0.0180475,1,0,0,4,4,253.892,6489.23,-6.32658e-05,6.24017e-06,0.000113508,0.00013693,7.20187e-05,-0.00010868700000000001,0.00015000200000000002,0.00010159,281.0,-1629.77,0.0,98100,-179.998,100.0,0.0,
98200,-23.6402,-0.8681270000000001,0,0.0,3.4405900000000003,0.144082,163.23948,-0.0587923,-0.448826,0,-108.735,-0.011497499999999999,59,14750000.0,10250000.0,0.0655781,99.9927,36.372,0.00018559,623.894,526.1759999999999,1.1035700000000002,0,0,0,0,0,0.00015469,623.9159999999999,526.11,0,99.3224,98.0307,110.685,104.335,91.0706,94.3382,10.355,10.802,2.64474,2.81681,49.0995,22.0246,-0.000663525,-0.00319867,1,0,0,4,4,254.03,6482.66,-7.62136e-05,2.5782800000000003e-05,0.00012659299999999999,0.000131823,4.99948e-05,-0.00010098,0.000159502,0.000101355,281.0,106.684,0.0,98200,-179.96900000000002,100.0,0.0,
