SimStep,VehicleAccLateral,VehicleAccLongitudinal,VehicleAccVertical,AvailableControl,AvailableSteer,VehicleFloatAngle,CHA_Speed,SpinTendency,StabilityIndex,VehicleYawMoment,VehicleYawRate,ActualCurvature,BrakeBias,BrakePressureFront,BrakePressureRear,DriverGap,DriverAcceleratorPedal,DriverSteeringWheelAngle,DemandCurvature,ReferenceTrackPositionX,ReferenceTrackPositionY,RoadBanking,CombinedGrip,CombinedGripFL,CombinedGripFR,CombinedGripRL,CombinedGripRR,RoadGradient,position.x,position.z,VehiclePositionZ,TyreSaturationBalanceLateral,TyreSaturationBalanceLongitudinal,TyreSaturationLateralFL,TyreSaturationLateralFR,TyreSaturationLateralRL,TyreSaturationLateralRR,TyreSlipAngleFL,TyreSlipAngleFR,TyreSlipAngleRL,TyreSlipAngleRR,tel_time,lapDistance,VehicleHeading,VehicleHeadingDemand,LapNumber,SpeedTrackX,SpeedTrackY,Gear,CurrentGear,EngineTorque,engineRPM,TrackCurvatureLADist1,TrackCurvatureLADist2,TrackCurvatureLADist3,TrackCurvatureLADist4,TrackCurvatureLADist5,TrackCurvatureLADist6,TrackCurvatureLADist7,TrackCurvatureLADist8,DemandSpeed,vehicleYawAcceleration,DriverBrakePedal,SimStep.1,steer,throttle,brake,Unnamed: 68
97100,-23.9085,-1.1436,0,0.0,-2.45256,1.8893400000000002,165.53304,-0.054970500000000005,-0.43102399999999996,0,-59.3509,-0.0113081,59,14750000.0,10250000.0,0.0250237,100.0,47.9999,9.24857e-05,602.322,526.306,0.8375360000000001,0,0,0,0,0,0.000155433,602.345,526.281,0,86.594,87.2247,112.654,130.736,97.9749,99.0367,12.5457,13.1437,3.35316,3.4671300000000005,48.5495,0.452679,-0.0195053,0.011771,1,0,0,4,4,250.555,6609.47,0.000155165,-9.415090000000001e-05,5.21558e-05,0.000143582,0.000123966,1.47758e-05,-8.269450000000001e-05,0.000152171,281.0,253.28900000000002,0.0,97100,179.87900000000002,100.0,0.0,
97200,1.3104200000000001,-0.184394,0,0.0,0.890498,2.27319,165.51504,0.078901,-0.47296400000000005,0,31.9114,0.0006199280000000001,59,14750000.0,10250000.0,0.0585067,100.0,9.07113,0.000107195,604.621,526.288,0.900806,0,0,0,0,0,0.000155353,604.643,526.229,0,129.726,124.008,108.81700000000001,114.306,84.7922,58.5718,-11.3941,-10.7489,1.63011,1.59497,48.5995,2.75147,-0.02338,0.015896200000000003,1,0,0,4,4,251.50400000000002,6576.57,0.00012753799999999998,-9.837350000000001e-05,6.46507e-05,0.00015130799999999998,0.00012152,-7.486e-06,-6.34453e-05,0.00014817700000000001,281.0,1386.62,0.0,97200,179.99599999999998,100.0,0.0,
97300,18.8969,0.360184,0,0.0,-0.8583719999999999,0.21535700000000002,165.57048,-0.06831749999999999,-0.48974300000000004,0,65.9659,0.00893367,59,14750000.0,10250000.0,0.0864427,100.0,-46.6626,0.000146639,606.92,526.271,0.9607629999999999,0,0,0,0,0,0.000155271,606.942,526.185,0,130.498,128.60399999999998,107.074,112.647,70.0038,67.4738,-12.3126,-11.6889,-1.48548,-1.43471,48.6495,5.05037,-0.0122836,0.00513412,1,0,0,4,4,251.082,6591.23,9.5685e-05,-8.9729e-05,6.91746e-05,0.000151752,0.000123669,-2.7659099999999997e-05,-4.09194e-05,0.000145702,281.0,94.3462,0.0,97300,176.907,99.999,0.0,
97400,23.0277,-1.18961,0,0.0,-2.50603,-1.62017,165.48696,-0.0789154,-0.436179,0,58.6435,0.0108975,59,14750000.0,10250000.0,0.07285130000000001,100.0,-83.8067,0.00017203799999999998,609.219,526.255,1.00186,0,0,0,0,0,0.000155197,609.241,526.183,0,90.0373,89.1891,107.588,114.09899999999999,97.9633,96.0361,-14.1716,-13.4717,-3.15347,-3.05231,48.6995,7.349539999999999,0.0109527,-0.017701400000000003,1,0,0,4,4,250.40099999999998,6614.75,5.92267e-05,-7.26631e-05,7.14323e-05,0.00015007899999999998,0.000122264,-4.72329e-05,-1.26402e-05,0.000143008,281.0,-247.43599999999998,0.0,97400,-9.941,99.999,0.0,
97500,17.5562,3.27696,0,0.343494,-1.2821200000000001,-2.44794,165.86676,-0.00184893,0.19553399999999999,0,17.7876,0.00827019,59,14750000.0,10250000.0,0.0142995,100.0,-83.5492,0.00018476599999999997,611.518,526.24,1.02732,0,0,0,0,0,0.000155115,611.5409999999999,526.226,0,44.1953,39.6075,36.9468,44.0432,92.2919,97.2772,-1.04597,-1.0204799999999998,-2.95008,-2.9233700000000002,48.7495,9.64887,0.027644299999999997,-0.0339747,1,0,0,4,4,251.02599999999998,6593.32,2.12354e-05,-5.48363e-05,7.34318e-05,0.000145303,0.00011549600000000001,-6.8128e-05,2.0394200000000002e-05,0.000135933,281.0,-545.2769999999999,0.0,97500,-179.28099999999998,99.99700000000001,0.0,
97600,-9.19491,0.173528,0,0.0,0.339677,-1.32576,166.10760000000002,0.350432,-0.506953,0,-55.1345,-0.00431891,59,14750000.0,10250000.0,-0.0675358,100.0,-27.6081,0.000193418,613.823,526.226,1.05311,0,0,0,0,0,0.00015503,613.846,526.294,0,616.741,258.408,112.792,108.759,26.4739,45.8627,10.8818,11.4696,-0.0249267,-0.031511700000000004,48.7995,11.9535,0.0280613,-0.0339343,1,0,0,4,4,251.548,6575.35,-8.92388e-06,-4.00688e-05,7.85289e-05,0.0001447,0.000109022,-8.99552e-05,5.5433299999999997e-05,0.00012577200000000001,281.0,-797.472,0.0,97600,-178.167,100.0,0.0,
97700,-22.6076,-0.94537,0,0.0,-1.38483,0.7725380000000001,166.0248,-0.054939,-0.455003,0,-65.6605,-0.0106295,59,14750000.0,10250000.0,-0.12683,100.0,19.1161,0.000205645,616.128,526.212,1.07741,0,0,0,0,0,0.00015495,616.1519999999999,526.339,0,99.9518,97.6172,112.95100000000001,103.081,87.4333,92.8427,12.4799,13.1451,2.36217,2.44773,48.8495,14.2594,0.00925754,-0.014672399999999999,1,0,0,4,4,249.641,6641.43,-2.93856e-05,-2.73719e-05,8.763110000000001e-05,0.00014385100000000002,0.000103904,-0.000106845,8.96435e-05,0.000115926,281.0,111.17299999999999,0.0,97700,-142.743,100.0,0.0,
97800,-24.3014,-0.48926000000000003,0,0.0,-2.32179,2.3531,165.89484,-0.057636099999999996,-0.425897,0,-57.0886,-0.011443799999999999,59,14750000.0,10250000.0,-0.130414,100.0,54.6612,0.00020814,618.433,526.2,1.09304,0,0,0,0,0,0.000154873,618.457,526.33,0,88.3627,88.3267,111.419,115.131,99.6149,100.0,11.6128,12.1007,3.7761400000000003,3.9012599999999997,48.8995,16.5642,-0.017258199999999998,0.0123288,1,0,0,4,4,249.292,6653.42,-4.40171e-05,-1.4912200000000001e-05,9.77052e-05,0.000140827,9.51544e-05,-0.000113769,0.000118832,0.000107864,281.0,234.188,0.0,97800,174.282,100.0,0.0,
97900,0.00198329,-0.0064866,0,0.0,1.35251,2.60069,165.95388,0.026925499999999998,-0.46592700000000004,0,34.26,9.3329e-07,59,14750000.0,10250000.0,-0.09483839999999999,100.0,13.5099,0.000202327,620.738,526.189,1.10094,0,0,0,0,0,0.000154798,620.761,526.284,0,119.645,115.04899999999999,106.965,112.789,88.4115,66.2492,-10.5251,-9.93518,1.88336,1.8414,48.9495,18.8687,-0.0217905,0.017325999999999998,1,0,0,4,4,251.28099999999998,6584.57,-5.808939999999999e-05,-5.35143e-07,0.00010939700000000001,0.000138961,7.95581e-05,-0.000111399,0.000142655,0.000102805,281.0,1444.91,0.0,97900,179.98,100.0,0.0,
98000,18.9557,-1.0863200000000002,0,0.0,-0.44220699999999996,0.302236,166.03668,-0.135274,-0.48886899999999994,0,70.204,0.00891121,59,14750000.0,10250000.0,-0.061933,100.0,-46.0932,0.00019077599999999998,623.043,526.179,1.10341,0,0,0,0,0,0.000154719,623.066,526.241,0,130.028,118.24,107.303,112.28200000000001,76.8781,65.9177,-12.0501,-11.4485,-1.48805,-1.4340000000000002,48.9995,21.174,-0.011721200000000001,0.00770505,1,0,0,4,4,250.958,6595.82,-7.11142e-05,1.81011e-05,0.0001207,0.00013364600000000001,5.86358e-05,-0.000103701,0.000157508,0.00010101700000000001,281.0,-53.1026,0.0,98000,140.998,99.99799999999999,0.0,
