SimStep,VehicleAccLateral,VehicleAccLongitudinal,VehicleAccVertical,AvailableControl,AvailableSteer,VehicleFloatAngle,CHA_Speed,SpinTendency,StabilityIndex,VehicleYawMoment,VehicleYawRate,ActualCurvature,BrakeBias,BrakePressureFront,BrakePressureRear,DriverGap,DriverAcceleratorPedal,DriverSteeringWheelAngle,DemandCurvature,ReferenceTrackPositionX,ReferenceTrackPositionY,RoadBanking,CombinedGrip,CombinedGripFL,CombinedGripFR,CombinedGripRL,CombinedGripRR,RoadGradient,position.x,position.z,VehiclePositionZ,TyreSaturationBalanceLateral,TyreSaturationBalanceLongitudinal,TyreSaturationLateralFL,TyreSaturationLateralFR,TyreSaturationLateralRL,TyreSaturationLateralRR,TyreSlipAngleFL,TyreSlipAngleFR,TyreSlipAngleRL,TyreSlipAngleRR,tel_time,lapDistance,VehicleHeading,VehicleHeadingDemand,LapNumber,SpeedTrackX,SpeedTrackY,Gear,CurrentGear,EngineTorque,engineRPM,TrackCurvatureLADist1,TrackCurvatureLADist2,TrackCurvatureLADist3,TrackCurvatureLADist4,TrackCurvatureLADist5,TrackCurvatureLADist6,TrackCurvatureLADist7,TrackCurvatureLADist8,DemandSpeed,vehicleYawAcceleration,DriverBrakePedal,SimStep.1,steer,throttle,brake,Unnamed: 68
89500,-0.171073,1.0207899999999999,0,0.874541,4.63266,-0.0162098,221.72508,0.397604,-0.167127,0,-1.3251,-4.50979e-05,59,14750000.0,10250000.0,-0.00844701,100.0,222.558,9.284899999999999e-05,603.785,526.295,0.876806,0,0,0,0,0,0.00015538299999999999,603.816,526.303,0,0.0,0.0,13.9576,12.6554,21.3702,22.1269,0.00770745,0.0126566,0.013096100000000001,0.00334338,44.7495,1.91586,-0.00952427,0.00194469,1,0,0,6,6,247.66099999999997,6745.23,0.000137821,-9.83227e-05,6.05983e-05,0.000148946,0.00012142,7.45535e-09,-7.07426e-05,0.000149159,281.0,-2.29792,0.0,89500,1.454,100.0,0.0,
89600,0.6320720000000001,0.998092,0,0.8592219999999999,4.620340000000001,-0.000995501,221.90544,0.406882,-0.16683499999999998,0,1.04734,0.000166355,59,14750000.0,10250000.0,-0.00248405,100.0,221.475,0.000145959,606.866,526.2719999999999,0.959774,0,0,0,0,0,0.000155273,606.8969999999999,526.274,0,0.0,0.0,10.5304,16.108,21.9233,21.5873,-0.0915563,-0.0863765,-0.014936700000000002,-0.0246974,44.7995,4.996580000000001,-0.00922821,0.00207051,1,0,0,6,6,247.498,6750.6,9.65298e-05,-9.007549999999999e-05,6.91512e-05,0.00015177299999999998,0.000123629,-2.71933e-05,-4.14907e-05,0.00014574,281.0,25.6527,0.0,89600,4.05,100.0,0.0,
89700,2.7004900000000003,0.93705,0,0.791773,4.56769,-0.06874680000000001,222.07752000000002,0.569257,-0.166978,0,4.5179,0.00070964,59,14750000.0,10250000.0,0.00242092,100.0,217.78,0.00017761,609.9490000000001,526.25,1.01131,0,0,0,0,0,0.000155172,609.98,526.248,0,0.0,0.0,4.24151,21.9613,22.7787,23.3198,-0.272385,-0.266414,-0.144957,-0.154453,44.8495,8.07977,-0.00774017,0.00111327,1,0,0,6,6,247.265,6755.79,4.72275e-05,-6.692220000000001e-05,7.24225e-05,0.00014866,0.000120576,-5.365e-05,-2.51784e-06,0.00014163200000000002,281.0,35.4596,0.0,89700,1.518,100.0,0.0,
89800,2.5926099999999996,0.9418,0,0.821652,4.557259999999999,-0.142773,222.24924000000001,0.644205,-0.167598,0,2.64785,0.0006802389999999999,59,14750000.0,10250000.0,0.00396118,100.0,216.917,0.000189152,613.034,526.23,1.04326,0,0,0,0,0,0.000155059,613.065,526.226,0,0.0,0.0,6.9600800000000005,19.4692,21.8401,24.926,-0.197107,-0.191772,-0.189175,-0.198725,44.8995,11.1653,-0.00600655,-3.053e-05,1,0,0,6,6,247.053,6760.5,-1.48749e-07,-4.50326e-05,7.597949999999999e-05,0.000144223,0.000111045,-8.26975e-05,4.30583e-05,0.000129434,281.0,-21.2259,0.0,89800,-2.131,100.0,0.0,
89900,0.482779,0.974672,0,0.8805430000000001,4.5913699999999995,-0.10482899999999999,222.42312,0.4427,-0.16661199999999998,0,-1.79082,0.000126472,59,14750000.0,10250000.0,0.00321516,100.0,219.653,0.000205619,616.122,526.212,1.07742,0,0,0,0,0,0.00015495,616.153,526.2090000000001,0,0.0,0.0,14.0031,12.6512,20.4482,23.1958,0.011939700000000001,0.017238099999999996,-0.07153989999999999,-0.0813752,44.9495,14.2533,-0.00528897,-0.000126887,1,0,0,6,6,246.829,6765.5,-2.93367e-05,-2.7405799999999998e-05,8.76084e-05,0.000143859,0.000103917,-0.000106816,8.955780000000001e-05,0.000115951,281.0,-44.6467,0.0,89900,-2.147,100.0,0.0,
90000,-0.93445,0.961364,0,0.857088,4.60417,-0.00035245400000000004,222.59808,0.427125,-0.166311,0,-2.9266799999999997,-0.00024441,59,14750000.0,10250000.0,0.00371317,100.0,221.998,0.000206997,619.2130000000001,526.196,1.09657,0,0,0,0,0,0.000154848,619.244,526.193,0,0.0,0.0,16.4254,10.1994,21.6102,22.0911,0.08888330000000001,0.0942189,0.056926,0.047195999999999995,44.9995,17.3437,-0.00562586,0.000862053,1,0,0,6,6,246.58700000000002,6770.86,-4.88334e-05,-1.05227e-05,0.000101756,0.00014025,9.052600000000001e-05,-0.000113806,0.00012753799999999998,0.000105708,281.0,-8.72683,0.0,90000,2.655,100.0,0.0,
90100,0.904264,0.9425290000000001,0,0.84464,4.583559999999999,0.019946099999999998,222.76728000000003,0.402118,-0.16581600000000002,0,2.12118,0.000236155,59,14750000.0,10250000.0,0.0065799,100.0,219.105,0.000194989,622.305,526.182,1.10303,0,0,0,0,0,0.000154745,622.336,526.1759999999999,0,0.0,0.0,8.80658,17.7615,22.2376,21.0314,-0.13625,-0.130701,-0.010450200000000002,-0.020243999999999998,45.0495,20.4365,-0.0052875,0.00112856,1,0,0,6,6,246.364,6775.82,-6.69595e-05,1.17221e-05,0.000116691,0.000135202,6.57965e-05,-0.000106271,0.000154312,0.000101103,281.0,52.9914,0.0,90100,6.36,100.0,0.0,
90200,4.2902,0.845831,0,0.624909,4.16182,-0.10939000000000002,222.92532,0.6177819999999999,-0.167069,0,7.55231,0.00111883,59,14750000.0,10250000.0,0.00753922,100.0,212.54,0.000174313,625.4,526.17,1.10366,0,0,0,0,0,0.000154638,625.431,526.1619999999999,0,0.0,0.0,1.6626599999999998,26.4607,22.9886,25.771,-0.41681899999999994,-0.410181,-0.24021900000000002,-0.249255,45.0995,23.5315,-0.00294911,-0.000662193,1,0,0,6,6,246.145,6780.71,-8.46564e-05,3.86971e-05,0.000136109,0.000128372,3.46155e-05,-9.49595e-05,0.000158343,0.00010109399999999999,281.0,55.0617,0.0,90200,0.21100000000000002,100.0,0.0,
90300,2.94964,0.8940229999999999,0,0.8308260000000001,4.25497,-0.21036100000000002,223.08768,0.749622,-0.16758900000000002,0,2.07757,0.000768107,59,14750000.0,10250000.0,0.00284081,100.0,212.873,0.000141322,628.498,526.159,1.1058,0,0,0,0,0,0.000154533,628.529,526.156,0,0.0,0.0,7.65123,18.8466,21.3384,26.8177,-0.17769100000000002,-0.17268,-0.249779,-0.25935,45.1495,26.6288,-0.000815587,-0.00233835,1,0,0,6,6,245.96200000000002,6784.78,-9.77928e-05,5.8999600000000003e-05,0.000147925,0.00012163899999999999,2.75033e-06,-7.32192e-05,0.000149544,8.83801e-05,281.0,-61.7414,0.0,90300,-4.361000000000001,100.0,0.0,
90400,-0.49623599999999995,0.914856,0,0.851417,4.36573,-0.104118,223.25076,0.394325,-0.165392,0,-4.4473,-0.000129035,59,14750000.0,10250000.0,-0.004985100000000001,100.0,217.648,0.000100615,631.597,526.15,1.11284,0,0,0,0,0,0.000154429,631.628,526.155,0,0.0,0.0,17.5805,9.09499,20.3076,22.7126,0.119772,0.125497,-0.0225872,-0.032464299999999995,45.1995,29.7283,-0.000458336,-0.00236322,1,0,0,6,6,245.736,6789.8,-9.156319999999999e-05,6.90346e-05,0.000151876,0.000123429,-2.48696e-05,-4.434060000000001e-05,0.000145929,6.679779999999999e-05,281.0,-66.6927,0.0,90400,-3.16,100.0,0.0,
