phy_ticks,tel_ticks,ctrl_ticks,cmnd_ticks,phy_time,phy_integrated_time,phy_dt,tel_time,lap,lapDistance,steer,throttle,brake,gearup,geardown,engineRPM,fuel,gear,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,linearVelocity.x,linearVelocity.y,linearVelocity.z,angularVelocity.x,angularVelocity.y,angularVelocity.z,w0.slipAngle,w0.slipRatio,w0.tireLoad,w1.slipAngle,w1.slipRatio,w1.tireLoad,w2.slipAngle,w2.slipRatio,w2.tireLoad,w3.slipAngle,w3.slipRatio,w3.tireLoad,lateralDistToCenterLine,lateralDistToDriveLine,trackWidth,g_time,g_fLongitude,g_fLatitude,g_altitude,test1,test2,test3,test4,Unnamed: 53,CHA_Speed
0,51084,1187254,0,0.0,0.0,0.0,0.0,1,0.0,-0.0,100.0,0.0,0,0,6058.7,19.0,6,-269.6322,22.05,-42.7921,-0.0033,0.5878,-0.0187,33.6821,-0.4265,50.7084,0.055,-0.0788,-0.055,0.0005,-0.0002,-0.0002,0.0003,-0.0005,-0.0005,-0.0032,0.0085,0.0085,-0.003,0.0106,0.0106,-1.7292,2.983,12.5812,32.65513992,2.26096368,41.56970215,22.05002022,0.0,0.0,0.0,0.0,,219.15177607076606
0,51085,1187255,0,0.0,0.0,0.0,0.016502379999998595,1,1.0045905239984392,-0.0,100.0,0.0,0,0,6060.4,19.0,6,-269.076,22.0473,-41.9554,-0.0044,0.5888,-0.0195,33.7411,-0.3867,50.6989,0.0238,-0.0522,-0.0238,-0.0004,-0.0002,-0.0002,-0.0005,-0.0005,-0.0005,-0.003,0.009,0.009,-0.0028,0.0103,0.0103,-1.793,2.9925,12.4,32.6716423,2.260957,41.56969452,22.0472908,0.0,0.0,0.0,0.0,,219.2408952815218
0,51086,1187256,0,0.0,0.0,0.0,0.033500669999995125,1,2.0397906122912666,2.1825,100.0,0.0,0,0,6063.3,19.0,6,-268.5019,22.045,-41.0936,-0.0051,0.5895,-0.0205,33.7932,-0.38,50.6938,-0.0086,-0.0226,0.0086,0.0018,-0.0002,-0.0002,0.0016,-0.0005,-0.0005,-0.0024,0.0098,0.0098,-0.0022,0.0104,0.0104,-1.7009,3.0125,12.5825,32.68864059,2.26095033,41.56968689,22.04501343,0.0,0.0,0.0,0.0,,219.32958932130612
0,51087,1187257,0,0.0,0.0,0.0,0.049999239999998224,1,3.044964107427239,3.375,100.0,0.0,0,0,6069.6,19.0,6,-267.9441,22.043,-40.257,-0.0055,0.5896,-0.0217,33.8256,-0.4008,50.6991,-0.0284,0.0142,0.0284,0.0028,-0.0002,-0.0002,0.0027,-0.0006,-0.0006,-0.0014,0.0109,0.0109,-0.0012,0.0106,0.0106,-1.6805,3.0337,12.5832,32.70513916,2.26094365,41.56967926,22.04302025,0.0,0.0,0.0,0.0,,219.41017896160426
0,51088,1187258,0,0.0,0.0,0.0,0.06700134999999818,1,4.081196329045259,3.375,100.0,0.0,0,0,6077.4,19.0,6,-267.3689,22.041,-39.395,-0.0056,0.5891,-0.0228,33.8456,-0.4324,50.7123,-0.0276,0.0444,0.0276,0.0028,-0.0003,-0.0003,0.0027,-0.0006,-0.0006,-0.0,0.0121,0.0121,0.0001,0.011,0.011,-1.6695,3.0446,12.5832,32.72214127,2.26093698,41.56967163,22.04096031,0.0,0.0,0.0,0.0,,219.48967095976067
0,51089,1187259,0,0.0,0.0,0.0,0.08399963999999471,1,5.117571073205767,3.375,100.0,0.0,0,0,6084.3,19.0,6,-266.7934,22.0387,-38.5327,-0.0057,0.5882,-0.0237,33.8556,-0.4546,50.7321,-0.0117,0.0634,0.0117,0.0032,-0.0004,-0.0004,0.0031,-0.0006,-0.0006,0.0013,0.013,0.013,0.0014,0.0114,0.0114,-1.6496,3.0665,12.5846,32.73913956,2.26093006,41.569664,22.03874016,0.0,0.0,0.0,0.0,,219.56894402018517
0,51090,1187260,0,0.0,0.0,0.0,0.10000228999999905,1,6.093594673768425,3.375,100.0,0.0,0,0,6088.6,19.0,6,-266.2517,22.0364,-37.7208,-0.006,0.587,-0.0244,33.8556,-0.4587,50.7586,0.0047,0.0762,-0.0047,0.0038,-0.0005,-0.0005,0.0037,-0.0006,-0.0006,0.0024,0.0132,0.0132,0.0026,0.0113,0.0113,-1.6287,3.0886,12.5852,32.75514221,2.26092386,41.56965637,22.03641319,0.0,0.0,0.0,0.0,,219.64830330359305
0,51091,1187261,0,0.0,0.0,0.0,0.11700057999999558,1,7.130718439757778,3.375,100.0,0.0,0,0,6087.8,19.0,6,-265.6762,22.0338,-36.8575,-0.0065,0.5856,-0.025,33.8463,-0.4482,50.795,0.0169,0.0859,-0.0169,0.0045,-0.0005,-0.0005,0.0043,-0.0006,-0.0006,0.0036,0.0129,0.0129,0.0037,0.0107,0.0107,-1.6177,3.0996,12.5852,32.7721405,2.26091695,41.56964874,22.03376007,0.0,0.0,0.0,0.0,,219.73876415194115
0,51092,1187262,0,0.0,0.0,0.0,0.13349914999999868,1,8.137767157000825,2.1825,100.0,0.0,0,0,6085.2,19.0,6,-265.1179,22.0312,-36.019,-0.0071,0.5842,-0.0256,33.8315,-0.4286,50.8345,0.0241,0.0857,-0.0241,0.0038,-0.0005,-0.0005,0.0036,-0.0005,-0.0005,0.0044,0.0124,0.0124,0.0046,0.0102,0.0102,-1.5989,3.1211,12.5865,32.78863907,2.26091003,41.56964111,22.03120613,0.0,0.0,0.0,0.0,,219.8275904002953
0,51093,1187263,0,0.0,0.0,0.0,0.15000152999999727,1,9.145455610131302,-0.0,100.0,0.0,0,0,6085.8,19.0,6,-264.5598,22.0289,-35.1799,-0.0078,0.5829,-0.026,33.8183,-0.4027,50.8721,0.0294,0.0672,-0.0294,0.0021,-0.0006,-0.0006,0.002,-0.0004,-0.0004,0.005,0.0117,0.0117,0.0051,0.01,0.01,-1.5797,3.1418,12.5872,32.80514145,2.2609036,41.56963348,22.028862,0.0,0.0,0.0,0.0,,219.9139780322479
