phy_ticks,tel_ticks,ctrl_ticks,cmnd_ticks,phy_time,phy_integrated_time,phy_dt,tel_time,lap,lapDistance,steer,throttle,brake,gearup,geardown,engineRPM,fuel,gear,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,linearVelocity.x,linearVelocity.y,linearVelocity.z,angularVelocity.x,angularVelocity.y,angularVelocity.z,w0.slipAngle,w0.slipRatio,w0.tireLoad,w1.slipAngle,w1.slipRatio,w1.tireLoad,w2.slipAngle,w2.slipRatio,w2.tireLoad,w3.slipAngle,w3.slipRatio,w3.tireLoad,lateralDistToCenterLine,lateralDistToDriveLine,trackWidth,g_time,g_fLongitude,g_fLatitude,g_altitude,test1,test2,test3,test4,Unnamed: 53,CHA_Speed
0,75452,85198,0,0.0,0.0,0.0,0.0,2,0.0,-0.0,100.0,0.0,0,0,7223.8,19.0,5,-271.5965,22.0896,-41.2531,-0.0053,0.5702,-0.0181,33.7474,-0.278,52.5498,0.0734,-0.0183,-0.0734,0.001,-0.0003,-0.0003,0.0008,-0.0003,-0.0003,-0.0,0.0083,0.0083,0.0002,0.0087,0.0087,-4.2122,0.5,12.5812,148.84788513,2.26098752,41.56968689,22.08959961,0.0,0.0,0.0,0.0,,224.83054861145538
0,75453,85199,0,0.0,0.0,0.0,0.016494749999992564,2,1.0301454699186476,0.189,100.0,0.0,0,0,7225.6,19.0,5,-271.0395,22.0886,-40.3859,-0.0065,0.5705,-0.019,33.7759,-0.2321,52.5573,0.0158,-0.0121,-0.0158,0.0011,-0.0003,-0.0003,0.001,-0.0003,-0.0003,0.0001,0.0085,0.0085,0.0003,0.0088,0.0088,-4.2855,0.5,12.4,148.86437988,2.26098084,41.56967926,22.08860588,0.0,0.0,0.0,0.0,,224.90872016250503
0,75454,85200,0,0.0,0.0,0.0,0.03298949999998513,2,2.0606491121127606,0.189,100.0,0.0,0,0,7229.4,19.0,5,-270.482,22.0883,-39.5186,-0.0068,0.5706,-0.0199,33.8004,-0.2461,52.5654,-0.038,-0.0069,0.038,0.0011,-0.0003,-0.0003,0.001,-0.0003,-0.0003,0.0003,0.0093,0.0093,0.0006,0.0094,0.0094,-4.213,0.5004,12.5825,148.88087463,2.26097441,41.56967163,22.08828545,0.0,0.0,0.0,0.0,,224.9809427317505
0,75455,85201,0,0.0,0.0,0.0,0.04998778999998876,2,3.1229522535095677,0.378,100.0,0.0,0,0,7238.1,19.0,5,-269.9072,22.0882,-38.6249,-0.0063,0.5707,-0.0207,33.8204,-0.3047,52.5743,-0.065,-0.0028,0.065,0.0013,-0.0003,-0.0003,0.0012,-0.0004,-0.0004,0.0006,0.0104,0.0104,0.0008,0.0104,0.0104,-4.2127,0.5015,12.5832,148.89787292,2.26096749,41.569664,22.08818245,0.0,0.0,0.0,0.0,,225.04683765248512
0,75456,85202,0,0.0,0.0,0.0,0.06649779999997918,2,4.155042681317553,0.378,100.0,0.0,0,0,7250.2,19.0,5,-269.3491,22.0879,-37.7574,-0.0057,0.5708,-0.0215,33.8355,-0.3709,52.5831,-0.0584,0.0005,0.0584,0.0014,-0.0004,-0.0004,0.0013,-0.0004,-0.0004,0.0008,0.0116,0.0116,0.0009,0.0116,0.0116,-4.2128,0.5023,12.5839,148.91438293,2.26096106,41.56965637,22.08792496,0.0,0.0,0.0,0.0,,225.10289229049368
0,75457,85203,0,0.0,0.0,0.0,0.08299255999997968,2,5.186436621216902,0.567,100.0,0.0,1,0,7049.3,19.0,5,-268.7908,22.0872,-36.8897,-0.0053,0.5707,-0.0221,33.8438,-0.4184,52.5888,-0.0338,0.0044,0.0338,0.0017,-0.0003,-0.0003,0.0016,-0.0004,-0.0004,0.001,0.0079,0.0079,0.0012,0.0078,0.0078,-4.2122,0.504,12.5846,148.93087769,2.26095438,41.56964874,22.08723068,0.0,0.0,0.0,0.0,,225.1363176013253
0,75458,85204,0,0.0,0.0,0.0,0.09999084999998331,2,6.249473403472527,0.567,100.0,0.0,1,0,6856.9,19.0,6,-268.2155,22.0859,-35.9959,-0.005,0.5706,-0.0224,33.829,-0.4457,52.5653,-0.0175,0.0087,0.0175,0.0018,-0.0002,-0.0002,0.0017,-0.0002,-0.0002,0.0013,0.0127,0.0127,0.0014,0.0125,0.0125,-4.2122,0.505,12.5852,148.94787598,2.26094747,41.56964111,22.08587265,0.0,0.0,0.0,0.0,,225.036342811481
0,75459,85205,0,0.0,0.0,0.0,0.11698913999998695,2,7.312038130041913,0.567,100.0,0.0,1,0,5963.2,19.0,6,-267.64,22.084,-35.1016,-0.0052,0.5704,-0.0225,33.8822,-0.4365,52.6507,0.0377,0.0126,-0.0377,0.0019,-0.001,-0.001,0.0018,-0.001,-0.001,0.0016,0.0293,0.0293,0.0017,0.029,0.029,-4.2114,0.5072,12.5859,148.96487427,2.26094079,41.56963348,22.08403969,0.0,0.0,0.0,0.0,,225.3985180692118
0,75460,85206,0,0.0,0.0,0.0,0.13349914999997736,2,8.345741404293499,0.567,100.0,0.0,1,0,6131.9,19.0,6,-267.0807,22.0821,-34.2323,-0.0059,0.5702,-0.0224,33.9039,-0.3879,52.6895,0.0433,0.0151,-0.0433,0.002,-0.0004,-0.0004,0.0019,-0.0004,-0.0004,0.0018,0.0036,0.0036,0.002,0.0033,0.0033,-4.2104,0.5096,12.5865,148.98138428,2.26093388,41.56962585,22.08211708,0.0,0.0,0.0,0.0,,225.55825340067167
0,75461,85207,0,0.0,0.0,0.0,0.14949035999998728,2,9.347671792450607,0.567,100.0,0.0,1,0,6408.5,19.0,6,-266.5384,22.0802,-33.3895,-0.0063,0.5699,-0.0223,33.8825,-0.3607,52.6638,0.0149,0.0163,-0.0149,0.0022,-0.0001,-0.0001,0.0021,-0.0001,-0.0001,0.002,0.0063,0.0063,0.0022,0.0059,0.0059,-4.2107,0.5107,12.5872,148.99737549,2.26092768,41.56961823,22.08022118,0.0,0.0,0.0,0.0,,225.43876173254324
