Timestamp,,,How's your English?,Do you have a driving licence?,How many hours a week do you drive a real car?,Number of years of experience with normal driving,Annual kilometers,Number of accidents (optional),Number of traffic fines (optional),Rate your driving skills in real life?,Number of years of experience with racing cars,Number of participated go-kart (karting) races ,How many hours a week do drive in a racing simulator?,How many hours a week do play racing games?,"If you play driving racing video games, what controllers do you use?",Rate your driving skills in video racing games?,Rate your driving skills in a simulator?
24/07/2019 17:25,CL 95,,Basic,Yes,0,5,5000,0,0,8,0,3,0,0,Gamepad,7,5
24/07/2019 18:21,dm82,,Fluent,Yes,8,10,30000,1,50,6,0,5,0,0,,,4
26/07/2019 12:30,OP07,,Okay,Yes,10,19,15000,1,5,7,0,0,0,1,Steering wheel,5,5
30/07/2019 12:11,OP30,,Fluent,Yes,3,18,6000,2,6,6,0,0,0,0.2,"Gamepad, Steering wheel, Driving pedals",5,4
31/07/2019 14:09,30071,,Basic,Yes,15,22,15000,1,0,7,0,3,0,0,,,2
31/07/2019 15:44,73102,,Fluent,Yes,10,11,15000,0,0,8,0,0,0,3,Gamepad,7,6
31/07/2019 17:20,RK01,,Fluent,Yes,0.1,3,2000,0,1,3,0,10,0,8,"Steering wheel, Driving pedals",8,5
31/07/2019 18:18,VS01,,Fluent,Yes,4,29,9000,0,100,9,0,7,0,0,,,4
02/08/2019 19:24,GP01,,Fluent,Yes,3,28,2000,4,8,8,0,20,0.5,0,,,8
06/08/2019 12:16,IS01,,Fluent,Yes,5,11,10000,1,1,7,0,0,0,0,keyboard/mouse,3,6
06/08/2019 14:31,JC01,,Fluent,Yes,0,1,5000,0,0,5,0,0,0,0,Gamepad,3,4
09/09/2019 16:57,ABX009,,Fluent,Yes,4,11,150,0,20,10,0,3,2,0,,,8
10/09/2019 17:57,CS001,,Fluent,Yes,4,5,5000,0,0,10,7,20,2,0,,,10
,,mean,,#DIV/0!,5.084615385,13.30769231,9165.384615,0.769230769,14.69230769,7.230769231,0.538461538,5.461538462,0.346153846,0.938461538,#DIV/0!,5.428571429,5.461538462
,,std,,#DIV/0!,4.508482035,9.195874214,8077.576591,1.165750556,29.18442683,1.964427234,1.941450687,7.148605745,0.746787994,2.283833934,#DIV/0!,1.988059595,2.145358735
